Customer_Name,Age,Gender,Visited_With_Family,Room_No,Num_Of_People,Reason_To_Visit,Room_Type,Cleanliness_Rating,Comfort_Rating,Staff_Performance,Facilities_Rating,Location_Rating,Overall_Satisfaction_Score
Kiran,43,Female,Yes,104,1,Travel,Single Room,4,3,4,1,3,3
Swati,48,Female,No,1004,2,Vacation,Double Room,1,5,3,5,3,3.4
Vihaan,41,Male,Yes,1004,2,Vacation,Double Room,4,4,2,2,5,3.4
Diya,29,Female,Yes,210,3,Business,Suite,2,2,2,3,5,2.8
Sunita,68,Female,Yes,605,3,Business,Double Room,4,4,3,3,2,3.2
Shreya,46,Female,No,1010,3,Travel,Suite,3,2,2,5,3,3
Kiran,34,Female,Yes,1010,4,Business,Suite,2,4,3,4,5,3.6
Meera,42,Female,No,308,2,Education,Double Room,5,4,4,5,4,4.4
Naveen,23,Male,No,505,2,Vacation,Double Room,4,1,3,3,3,2.8
Aarav,46,Male,Yes,708,3,Education,Suite,2,5,3,1,2,2.6
Mehul,25,Male,No,301,1,Vacation,Single Room,5,3,4,3,3,3.6
Puja,63,Female,Yes,1002,2,Travel,Single Room,2,4,2,3,3,2.8
Vinod,55,Male,No,1002,1,Vacation,Single Room,5,3,5,5,2,4
Krishna,59,Male,Yes,608,3,Vacation,Suite,3,3,2,5,5,3.6
Sharad,61,Male,No,108,2,Vacation,Double Room,3,4,2,1,3,2.6
Yash,24,Male,Yes,303,2,Travel,Single Room,4,4,2,4,5,3.8
Sneha,38,Female,Yes,601,1,Education,Single Room,2,2,3,3,1,2.2
Palak,18,Female,Yes,705,3,Business,Double Room,4,3,4,5,5,4.2
Amit,18,Male,Yes,905,3,Travel,Suite,4,2,5,4,2,3.4
Sanjay,38,Male,Yes,704,2,Business,Single Room,4,2,3,3,1,2.6
Shivani,38,Female,Yes,107,2,Travel,Double Room,5,5,5,5,3,4.6
Nandini,66,Female,Yes,406,2,Vacation,Double Room,4,1,1,2,5,2.6
Rohan,48,Male,Yes,103,1,Vacation,Single Room,5,3,4,4,3,3.8
Manish,59,Male,No,405,2,Travel,Double Room,4,4,1,2,2,2.6
Aishwarya,57,Female,No,506,2,Travel,Double Room,1,3,4,2,4,2.8
Rana,45,Male,No,207,2,Vacation,Double Room,2,4,5,1,4,3.2
Suman,19,Female,Yes,307,3,Education,Double Room,5,4,1,4,4,3.6
Aarav,21,Male,Yes,1008,3,Travel,Suite,1,5,1,2,1,2
Harish,62,Male,Yes,401,2,Travel,Single Room,2,5,3,2,2,2.8
Swati,22,Female,Yes,802,1,Business,Single Room,1,2,5,4,1,2.6
Suman,24,Female,No,106,2,Travel,Double Room,3,5,2,1,3,2.8
Bharat,28,Male,No,607,3,Vacation,Suite,1,1,5,1,2,2
Harshit,44,Male,Yes,506,3,Business,Double Room,3,2,3,1,2,2.2
Swati,50,Female,No,806,3,Education,Suite,4,1,4,2,2,2.6
Riya,49,Female,No,803,2,Travel,Double Room,5,1,3,1,5,3
Ramu,48,Female,No,1005,3,Travel,Suite,2,1,4,2,3,2.4
Naveen,26,Female,Yes,206,3,Vacation,Double Room,5,3,4,3,5,4
Ajay,58,Male,No,1006,3,Education,Suite,3,2,4,5,2,3.2
Rohan,67,Male,Yes,108,3,Education,Double Room,3,2,4,2,5,3.2
Palak,26,Female,Yes,1009,4,Travel,Suite,3,3,4,5,5,4
Aarav,55,Male,Yes,208,2,Business,Double Room,4,5,4,3,3,3.8
Aditya,58,Male,Yes,507,3,Vacation,Suite,5,5,3,2,1,3.2
Naveen,47,Female,Yes,602,1,Vacation,Single Room,5,3,3,3,4,3.6
Pooja,38,Female,Yes,108,2,Education,Double Room,2,2,1,3,1,1.8
Dinesh,61,Male,Yes,305,1,Travel,Single Room,1,2,2,3,4,2.4
Puja,24,Female,Yes,407,3,Travel,Suite,2,3,5,2,3,3
Arjun,37,Male,No,205,1,Vacation,Single Room,1,3,1,1,4,2
Mehul,50,Male,No,205,1,Business,Single Room,3,2,3,5,5,3.6
Gaurav,56,Female,Yes,501,1,Education,Single Room,2,1,1,5,5,2.8
Rajesh,57,Male,No,202,1,Education,Single Room,2,2,3,1,5,2.6
Palak,60,Female,Yes,103,2,Education,Single Room,3,1,2,1,2,1.8
Rohit,45,Female,Yes,1005,3,Travel,Suite,4,4,3,5,4,4
Isha,43,Female,Yes,607,3,Education,Suite,3,3,2,2,5,3
Shivani,26,Female,No,405,2,Vacation,Double Room,3,1,3,2,2,2.2
Suman,26,Female,No,606,2,Education,Double Room,1,4,3,5,5,3.6
Puja,42,Female,Yes,606,2,Travel,Double Room,4,4,1,5,5,3.8
Vihaan,54,Male,Yes,206,2,Travel,Double Room,5,1,1,4,1,2.4
Sai,60,Male,Yes,306,2,Business,Double Room,4,4,5,2,3,3.6
Indira,40,Female,No,405,2,Education,Double Room,2,3,2,5,5,3.4
Pooja,47,Female,No,301,1,Vacation,Single Room,3,1,4,2,1,2.2
Leela,58,Female,Yes,1007,3,Education,Suite,5,1,5,4,4,3.8
Dinesh,68,Male,No,208,2,Vacation,Double Room,5,5,3,2,4,3.8
Aditi,31,Female,Yes,902,1,Travel,Single Room,5,3,4,5,4,4.2
Naveen,59,Female,No,301,1,Business,Single Room,4,5,5,3,1,3.6
Seema,60,Female,No,101,1,Business,Single Room,5,5,1,4,5,4
Tanvi,48,Female,No,803,2,Vacation,Double Room,1,4,2,4,5,3.2
Anushka,49,Female,Yes,806,3,Business,Suite,1,5,2,4,3,3
Arnav,51,Male,No,404,1,Travel,Single Room,2,5,5,3,4,3.8
Akhil,49,Male,Yes,304,1,Travel,Single Room,4,3,2,4,1,2.8
Mahesh,30,Female,No,901,1,Business,Single Room,1,2,3,2,4,2.4
Sarika,68,Female,Yes,805,3,Vacation,Suite,1,5,4,1,1,2.4
Priya,29,Female,Yes,705,3,Business,Double Room,4,4,4,4,2,3.6
Aarav,34,Male,Yes,104,1,Education,Single Room,5,4,3,3,5,4
Tanya,33,Female,No,707,3,Vacation,Suite,2,2,5,4,3,3.2
Neha,36,Female,Yes,102,1,Business,Single Room,1,4,1,5,5,3.2
Leela,40,Female,No,210,3,Education,Suite,2,3,3,4,1,2.6
Vikas,30,Male,No,507,3,Travel,Suite,1,5,5,1,3,3
Sneha,34,Female,No,606,2,Vacation,Double Room,5,2,1,3,1,2.4
Diya,37,Female,No,308,2,Vacation,Double Room,4,2,3,4,5,3.6
Aishwarya,48,Female,Yes,902,2,Travel,Single Room,3,2,5,5,5,4
Suman,48,Female,Yes,107,3,Education,Double Room,3,4,2,4,4,3.4
Deepak,45,Male,No,702,1,Business,Single Room,2,5,2,1,1,2.2
Aditya,52,Male,No,207,2,Travel,Double Room,3,4,1,5,2,3
Sneha,55,Female,Yes,1008,4,Vacation,Suite,2,2,2,4,5,3
Ravi,50,Male,No,109,2,Education,Double Room,2,1,1,4,1,1.8
Rana,21,Male,Yes,406,3,Education,Double Room,1,1,4,3,2,2.2
Seema,70,Female,No,706,2,Business,Double Room,2,5,2,4,4,3.4
Kavita,31,Female,Yes,607,3,Travel,Suite,1,5,4,1,2,2.6
Rachit,60,Male,Yes,804,3,Business,Double Room,5,4,2,1,5,3.4
Anil,37,Male,No,706,2,Business,Double Room,5,5,2,2,2,3.2
Geeta,24,Female,No,209,3,Education,Suite,5,5,4,5,4,4.6
Parvati,63,Female,No,202,1,Business,Single Room,4,4,3,5,4,4
Bhavna,40,Female,Yes,1010,4,Business,Suite,4,4,3,3,5,3.8
Sonia,63,Female,Yes,504,1,Education,Single Room,1,2,4,2,1,2
Sanjay,20,Male,No,906,3,Vacation,Suite,3,3,4,4,4,3.6
Smita,63,Female,Yes,103,2,Travel,Single Room,2,5,4,1,2,2.8
Indira,66,Female,Yes,408,4,Education,Suite,5,2,5,3,5,4
Rohan,32,Male,Yes,1003,2,Vacation,Double Room,2,4,3,1,1,2.2
Seema,33,Female,No,310,3,Travel,Suite,5,2,5,5,3,4
Sharad,30,Male,No,806,3,Education,Suite,2,3,2,1,2,2
Anushka,70,Female,Yes,103,2,Business,Single Room,1,5,2,5,3,3.2
Bhavna,37,Female,No,1007,3,Education,Suite,3,2,1,2,1,1.8
Nisha,18,Female,Yes,407,3,Travel,Suite,5,2,2,3,5,3.4
Kavita,40,Female,No,505,2,Travel,Double Room,4,4,5,2,3,3.6
Akash,50,Male,No,903,2,Business,Double Room,4,2,5,4,1,3.2
Isha,21,Female,No,905,3,Education,Suite,4,2,2,1,3,2.4
Sunita,58,Female,No,1004,2,Vacation,Double Room,2,5,1,3,4,3
Lalit,33,Male,Yes,506,2,Business,Double Room,1,1,4,3,1,2
Akash,60,Male,No,102,1,Business,Single Room,3,3,1,2,4,2.6
Manish,23,Male,No,804,2,Vacation,Double Room,2,2,4,3,2,2.6
Akhil,43,Male,No,205,1,Education,Single Room,5,4,4,4,3,4
Harish,25,Male,Yes,508,3,Travel,Suite,4,2,1,2,1,2
Neha,70,Female,No,109,2,Education,Double Room,3,2,1,4,2,2.4
Suman,26,Female,Yes,903,3,Business,Double Room,5,1,5,4,1,3.2
Lalit,36,Male,Yes,101,1,Business,Single Room,1,2,1,2,4,2
Vishal,26,Male,Yes,306,2,Business,Double Room,1,3,1,1,2,1.6
Raghav,43,Male,Yes,708,3,Travel,Suite,5,5,1,5,5,4.2
Vikas,61,Male,Yes,203,1,Travel,Single Room,3,3,3,3,3,3
Seema,52,Female,No,1004,2,Business,Double Room,3,3,5,5,5,4.2
Karthik,64,Male,No,803,2,Vacation,Double Room,3,1,3,5,3,3
Rashmi,30,Female,No,805,3,Travel,Suite,4,2,5,4,4,3.8
Rahul,44,Male,Yes,110,3,Education,Double Room,2,1,3,4,3,2.6
Rahul,62,Male,No,208,2,Education,Double Room,3,3,1,4,1,2.4
Tanvi,20,Female,No,1005,3,Travel,Suite,5,4,1,2,2,2.8
Suman,62,Female,Yes,104,2,Vacation,Single Room,3,4,4,2,4,3.4
Puja,44,Female,No,507,3,Travel,Suite,3,3,2,3,2,2.6
Priya,63,Female,No,501,1,Vacation,Single Room,5,2,1,4,3,3
Aditya,48,Male,No,806,3,Education,Suite,3,3,2,2,4,2.8
Sai,26,Male,Yes,305,2,Business,Single Room,4,2,2,5,4,3.4
Shreya,70,Female,No,210,3,Travel,Suite,5,3,1,2,1,2.4
Harish,47,Male,Yes,404,1,Education,Single Room,5,2,5,4,3,3.8
Aryan,39,Male,Yes,802,2,Vacation,Single Room,2,3,3,1,5,2.8
Rana,43,Male,No,1006,3,Vacation,Suite,3,2,3,2,2,2.4
Rana,20,Male,Yes,206,2,Travel,Double Room,4,1,4,5,2,3.2
Sunita,32,Female,Yes,307,3,Business,Double Room,2,2,3,1,5,2.6
Sunita,56,Female,Yes,1009,4,Travel,Suite,5,4,5,4,5,4.6
Shreya,20,Male,No,310,3,Education,Suite,2,2,4,2,2,2.4
Isha,65,Female,No,906,3,Business,Suite,1,5,3,4,4,3.4
Bhavna,41,Female,Yes,303,1,Business,Single Room,2,3,3,5,5,3.6
Nandini,66,Female,No,204,1,Business,Single Room,1,1,5,2,1,2
Vinod,69,Male,No,407,3,Business,Suite,2,3,5,5,4,3.8
Neha,53,Female,Yes,905,3,Vacation,Suite,3,3,4,3,3,3.2
Pradeep,69,Male,Yes,302,2,Education,Single Room,1,5,3,1,4,2.8
Puja,26,Female,Yes,1008,4,Business,Suite,2,4,4,2,4,3.2
Ananya,51,Female,Yes,601,1,Vacation,Single Room,3,1,3,3,2,2.4
Naveen,56,Male,No,102,1,Vacation,Single Room,4,3,2,5,2,3.2
Ravi,60,Male,No,1008,3,Education,Suite,1,3,3,5,2,2.8
Isha,34,Female,No,708,3,Travel,Suite,5,4,3,1,1,2.8
Mahesh,40,Female,No,601,1,Education,Single Room,3,4,3,5,5,4
Leela,41,Female,No,602,1,Education,Single Room,5,1,3,3,4,3.2
Sharad,45,Male,Yes,905,4,Education,Suite,1,3,2,3,1,2
Pankaj,28,Male,Yes,1008,4,Education,Suite,3,5,1,5,3,3.4
Bhavna,22,Female,Yes,307,2,Education,Double Room,4,4,4,3,1,3.2
Bhavna,28,Female,No,1003,2,Education,Double Room,3,2,4,4,2,3
Tarun,52,Male,No,207,2,Education,Double Room,2,5,2,1,1,2.2
Shreya,36,Female,Yes,705,2,Education,Double Room,4,1,3,2,1,2.2
Shivani,47,Female,No,1010,3,Business,Suite,2,3,1,5,4,3
Rashmi,55,Female,Yes,707,4,Education,Suite,2,1,1,5,2,2.2
Rahul,56,Male,No,106,2,Education,Double Room,5,2,3,1,5,3.2
Nisha,21,Female,Yes,310,4,Education,Suite,2,1,1,3,4,2.2
Tarun,26,Male,No,301,1,Travel,Single Room,4,3,5,3,4,3.8
Ajay,62,Male,No,407,3,Vacation,Suite,5,5,1,1,2,2.8
Tanvi,44,Female,Yes,101,1,Education,Single Room,5,3,5,1,4,3.6
Kapil,30,Male,No,104,1,Vacation,Single Room,1,4,1,2,1,1.8
Tanvi,67,Female,No,304,1,Education,Single Room,4,1,5,3,5,3.6
Rahul,35,Male,Yes,606,3,Travel,Double Room,4,1,3,4,1,2.6
Swati,35,Female,No,1009,3,Education,Suite,5,4,5,2,3,3.8
Shivani,19,Female,No,708,3,Education,Suite,2,3,3,1,4,2.6
Krishna,27,Male,Yes,105,2,Education,Single Room,2,4,5,5,1,3.4
Geeta,43,Female,No,505,2,Travel,Double Room,3,4,5,5,3,4
Sameer,35,Male,No,210,3,Vacation,Suite,4,1,1,5,5,3.2
Anil,31,Male,Yes,1001,2,Travel,Single Room,3,5,2,1,3,2.8
Rohit,23,Female,No,601,1,Vacation,Single Room,2,5,5,1,5,3.6
Rohan,27,Male,Yes,608,3,Business,Suite,5,2,1,5,2,3
Vinod,56,Male,No,601,1,Education,Single Room,3,1,2,3,4,2.6
Anil,38,Male,No,109,2,Travel,Double Room,4,5,4,5,2,4
Tanvi,29,Female,No,1004,2,Education,Double Room,2,1,5,2,1,2.2
Riya,60,Female,No,506,2,Travel,Double Room,1,3,2,5,1,2.4
Leela,46,Female,No,1007,3,Business,Suite,1,4,2,3,1,2.2
Ramu,39,Female,Yes,404,1,Vacation,Single Room,4,1,5,4,3,3.4
Naina,51,Female,No,301,1,Education,Single Room,5,4,2,1,1,2.6
Rashmi,39,Female,Yes,602,1,Education,Single Room,3,1,5,3,5,3.4
Indira,66,Female,No,806,3,Business,Suite,2,3,4,3,5,3.4
Mehul,33,Male,Yes,308,3,Business,Double Room,5,3,3,2,2,3
Seema,22,Female,No,104,1,Education,Single Room,4,1,2,4,5,3.2
Akash,67,Male,Yes,806,3,Business,Suite,5,3,4,2,4,3.6
Sneha,50,Female,Yes,1006,4,Education,Suite,4,2,5,4,5,4
Raghav,48,Male,Yes,1002,2,Education,Single Room,5,2,3,2,2,2.8
Vishal,20,Male,Yes,705,2,Education,Double Room,1,3,5,5,4,3.6
Anushka,46,Female,No,906,3,Education,Suite,3,3,1,4,5,3.2
Vikas,61,Male,No,107,2,Travel,Double Room,5,3,4,3,5,4
Raghav,59,Male,No,805,3,Business,Suite,4,1,2,2,5,2.8
Akash,69,Male,No,209,3,Education,Suite,3,5,1,5,4,3.6
Kapil,48,Male,No,104,1,Travel,Single Room,5,5,5,1,5,4.2
Geeta,32,Female,Yes,1007,4,Business,Suite,1,2,4,3,5,3
Dinesh,50,Male,Yes,702,1,Travel,Single Room,1,5,4,2,1,2.6
Kapil,57,Male,No,905,3,Business,Suite,1,2,2,2,1,1.6
Vivek,42,Male,Yes,708,4,Vacation,Suite,5,2,3,3,3,3.2
Naina,50,Female,No,806,3,Travel,Suite,1,1,1,1,5,1.8
Rajesh,52,Male,Yes,402,1,Travel,Single Room,5,3,3,2,2,3
Suman,30,Female,Yes,806,4,Education,Suite,5,3,4,2,1,3
Harish,45,Male,No,906,3,Vacation,Suite,2,1,5,2,3,2.6
Varun,65,Male,Yes,805,3,Travel,Suite,5,5,1,3,4,3.6
Rohit,28,Female,No,506,2,Travel,Double Room,5,2,2,2,5,3.2
Sanjay,18,Male,No,606,2,Vacation,Double Room,4,2,2,5,4,3.4
Aarav,44,Male,No,503,1,Vacation,Single Room,2,4,5,3,2,3.2
Anushka,31,Female,No,1006,3,Vacation,Suite,2,3,1,2,4,2.4
Rashmi,67,Female,Yes,707,4,Vacation,Suite,3,3,3,5,1,3
Smita,32,Female,Yes,507,3,Business,Suite,4,5,5,5,1,4
Suman,26,Female,No,502,1,Vacation,Single Room,4,4,1,3,1,2.6
Aryan,35,Male,No,603,1,Travel,Single Room,1,2,2,3,2,2
Raj,27,Male,Yes,1010,4,Business,Suite,2,2,3,4,5,3.2
Naveen,62,Female,Yes,101,2,Education,Single Room,5,2,5,4,4,4
Shreya,61,Female,No,506,2,Education,Double Room,2,1,4,4,4,3
Kavita,69,Female,No,1007,3,Vacation,Suite,1,2,2,1,2,1.6
Pooja,26,Female,Yes,402,2,Business,Single Room,4,2,4,2,1,2.6
Deepak,70,Male,Yes,608,4,Travel,Suite,1,5,4,1,2,2.6
Leela,41,Female,No,209,3,Business,Suite,1,3,4,4,5,3.4
Bharat,28,Male,Yes,401,1,Education,Single Room,2,1,2,1,1,1.4
Anushka,67,Female,Yes,306,2,Business,Double Room,5,3,3,4,1,3.2
Nandini,56,Female,No,1006,3,Travel,Suite,1,3,3,3,4,2.8
Shreya,62,Male,No,1006,3,Education,Suite,4,5,4,1,5,3.8
Gaurav,47,Female,No,209,3,Travel,Suite,2,5,4,2,5,3.6
Vikas,66,Male,Yes,206,3,Business,Double Room,5,5,4,4,2,4
Krishna,57,Male,Yes,310,3,Vacation,Suite,1,3,3,2,1,2
Vihaan,65,Male,Yes,202,1,Education,Single Room,3,2,2,4,5,3.2
Deepika,43,Female,No,401,1,Business,Single Room,5,5,1,4,4,3.8
Rohan,38,Male,No,310,3,Travel,Suite,4,4,2,3,2,3
Ramu,55,Male,Yes,405,3,Travel,Double Room,4,5,3,1,2,3
Neha,59,Female,Yes,304,1,Travel,Single Room,1,1,4,2,2,2
Suman,24,Female,Yes,1005,4,Business,Suite,1,2,2,1,2,1.6
Rachit,30,Male,No,210,3,Travel,Suite,5,2,1,1,3,2.4
Aryan,25,Male,Yes,404,2,Business,Single Room,3,3,3,3,2,2.8
Riya,29,Female,Yes,601,2,Business,Single Room,5,3,3,5,1,3.4
Naveen,24,Female,No,204,1,Travel,Single Room,3,3,2,4,4,3.2
Vinod,52,Male,No,309,3,Vacation,Suite,2,4,2,4,3,3
Swati,22,Female,Yes,1010,3,Travel,Suite,3,4,5,2,4,3.6
Bhavna,47,Female,Yes,701,2,Vacation,Single Room,2,2,2,5,2,2.6
Shivani,23,Female,No,602,1,Travel,Single Room,3,5,2,5,2,3.4
Anushka,51,Female,Yes,802,1,Vacation,Single Room,2,1,4,4,5,3.2
Kavita,66,Female,No,301,1,Vacation,Single Room,5,1,4,1,4,3
Shreya,38,Female,Yes,905,3,Travel,Suite,4,4,1,3,3,3
Deepika,38,Female,No,104,1,Business,Single Room,5,1,4,3,1,2.8
Pradeep,29,Male,No,503,1,Education,Single Room,5,1,5,5,1,3.4
Deepak,53,Male,No,102,1,Education,Single Room,4,4,1,1,2,2.4
Pooja,48,Female,No,506,2,Vacation,Double Room,4,1,5,1,4,3
Rajesh,28,Male,Yes,507,4,Education,Suite,5,2,3,4,2,3.2
Harsha,59,Female,No,408,3,Education,Suite,3,1,5,4,4,3.4
Sonia,54,Female,Yes,805,3,Business,Suite,5,3,5,2,3,3.6
Pooja,70,Female,No,208,2,Travel,Double Room,5,4,3,1,2,3
Shivani,37,Female,No,704,1,Travel,Single Room,1,1,3,4,3,2.4
Isha,39,Female,Yes,708,4,Education,Suite,3,2,3,4,3,3
Harshit,41,Male,Yes,1005,3,Vacation,Suite,3,4,3,5,4,3.8
Pradeep,63,Male,No,207,2,Education,Double Room,2,5,3,2,5,3.4
Riya,24,Female,No,901,1,Travel,Single Room,5,1,5,2,1,2.8
Rana,69,Male,Yes,706,2,Education,Double Room,3,5,4,4,3,3.8
Manish,67,Male,Yes,407,4,Education,Suite,4,2,3,4,5,3.6
Manish,50,Male,No,906,3,Business,Suite,4,1,3,3,1,2.4
Raj,42,Male,No,707,3,Vacation,Suite,1,4,4,2,2,2.6
Sharad,67,Male,Yes,705,2,Vacation,Double Room,2,3,5,4,4,3.6
Ajay,67,Male,Yes,601,1,Vacation,Single Room,2,3,2,2,1,2
Nandini,57,Female,No,707,3,Education,Suite,3,5,3,4,5,4
Gaurav,69,Female,No,208,2,Business,Double Room,5,5,4,1,4,3.8
Rachit,34,Male,No,801,1,Travel,Single Room,5,2,3,4,1,3
Vihaan,20,Male,No,209,3,Vacation,Suite,3,1,2,5,5,3.2
Harshit,70,Male,No,1008,3,Business,Suite,3,1,1,4,1,2
Diya,26,Female,Yes,308,2,Education,Double Room,1,5,3,4,3,3.2
Amit,58,Male,No,204,1,Business,Single Room,5,3,4,4,3,3.8
Riya,31,Female,Yes,301,2,Travel,Single Room,2,2,4,3,5,3.2
Parvati,18,Female,Yes,1007,3,Vacation,Suite,2,2,5,4,4,3.4
Sai,55,Male,No,603,1,Travel,Single Room,1,3,5,1,4,2.8
Krishna,64,Male,No,901,1,Travel,Single Room,2,2,2,4,5,3
Aditi,40,Female,Yes,207,2,Business,Double Room,2,4,2,5,5,3.6
Krishna,57,Male,Yes,805,4,Business,Suite,1,1,1,2,2,1.4
Geeta,46,Female,No,901,1,Education,Single Room,5,2,2,4,5,3.6
Aditya,43,Male,Yes,305,2,Business,Single Room,3,4,4,4,5,4
Dinesh,65,Male,No,302,1,Education,Single Room,1,1,5,1,5,2.6
Harish,51,Male,No,508,3,Vacation,Suite,4,2,4,1,5,3.2
Vijay,52,Male,No,102,1,Vacation,Single Room,5,5,5,3,2,4
Ramu,22,Female,Yes,806,4,Travel,Suite,5,4,1,3,3,3.2
Preeti,61,Female,Yes,307,3,Vacation,Double Room,5,3,5,5,1,3.8
Varun,27,Male,No,906,3,Vacation,Suite,5,2,2,5,5,3.8
Shreya,50,Female,No,310,3,Education,Suite,3,1,2,4,3,2.6
Sneha,69,Female,Yes,109,2,Education,Double Room,5,3,2,3,5,3.6
Mahesh,50,Female,No,209,3,Vacation,Suite,1,4,4,3,5,3.4
Raj,34,Male,No,103,1,Education,Single Room,4,3,2,5,5,3.8
Aarav,37,Male,Yes,605,2,Travel,Double Room,1,2,1,5,4,2.6
Sunita,68,Female,Yes,203,2,Education,Single Room,1,4,4,5,5,3.8
Parvati,25,Female,Yes,503,2,Education,Single Room,1,4,4,5,5,3.8
Sunita,49,Female,Yes,207,3,Travel,Double Room,1,2,1,2,1,1.4
Ajay,19,Male,No,103,1,Education,Single Room,3,5,2,4,2,3.2
Ravi,31,Male,Yes,804,3,Business,Double Room,5,2,4,4,1,3.2
Bhavna,27,Female,No,504,1,Business,Single Room,4,2,1,3,2,2.4
Lakshmi,66,Female,No,708,3,Vacation,Suite,3,3,1,2,5,2.8
Tanya,51,Female,No,1005,3,Vacation,Suite,4,5,1,3,2,3
Sarika,58,Female,Yes,905,4,Business,Suite,1,2,1,4,5,2.6
Ajay,28,Male,No,701,1,Education,Single Room,3,4,2,1,3,2.6
Ananya,30,Female,No,608,3,Vacation,Suite,5,3,1,1,3,2.6
Anil,28,Male,Yes,705,2,Travel,Double Room,4,1,3,3,2,2.6
Diya,38,Female,No,307,2,Travel,Double Room,3,5,5,1,5,3.8
Neha,25,Female,No,605,2,Travel,Double Room,4,1,3,1,3,2.4
Riya,28,Female,No,304,1,Travel,Single Room,1,4,5,5,2,3.4
Rashmi,31,Female,No,101,1,Business,Single Room,3,3,2,2,4,2.8
Sonia,50,Female,No,105,1,Business,Single Room,3,3,1,3,3,2.6
Sarika,35,Female,Yes,108,2,Education,Double Room,2,4,1,1,3,2.2
Geeta,61,Female,Yes,803,3,Vacation,Double Room,4,2,5,3,3,3.4
Kabir,19,Male,No,204,1,Business,Single Room,2,1,3,3,5,2.8
Rashmi,19,Female,No,1009,3,Vacation,Suite,5,5,2,1,2,3
Neha,60,Female,Yes,1005,4,Travel,Suite,5,1,2,3,4,3
Bhavna,63,Female,No,1003,2,Vacation,Double Room,3,1,4,1,1,2
Parvati,70,Female,Yes,206,3,Travel,Double Room,2,5,5,5,4,4.2
Kavita,28,Female,Yes,401,1,Vacation,Single Room,1,4,1,3,1,2
Mahesh,25,Female,No,208,2,Vacation,Double Room,4,4,2,2,5,3.4
Bharat,44,Male,Yes,506,3,Vacation,Double Room,3,3,2,4,5,3.4
Mahesh,28,Female,Yes,1008,3,Vacation,Suite,3,2,3,4,1,2.6
Kabir,52,Male,No,905,3,Vacation,Suite,4,1,1,5,5,3.2
Neha,38,Female,Yes,1009,4,Business,Suite,3,5,3,1,2,2.8
Akash,44,Male,No,304,1,Travel,Single Room,3,5,4,4,1,3.4
Tarun,26,Male,Yes,107,3,Travel,Double Room,3,3,5,2,2,3
Ramu,63,Female,No,508,3,Business,Suite,4,3,2,5,5,3.8
Siddharth,24,Male,Yes,501,2,Business,Single Room,1,2,1,5,1,2
Kabir,44,Male,No,608,3,Business,Suite,3,4,3,4,3,3.4
Rashmi,24,Female,Yes,106,3,Vacation,Double Room,1,2,4,2,1,2
Vihaan,28,Male,No,804,2,Travel,Double Room,1,2,2,1,1,1.4
Sneha,65,Female,Yes,906,3,Business,Suite,1,5,2,1,5,2.8
Naveen,55,Male,Yes,401,2,Travel,Single Room,2,3,2,1,2,2
Priya,36,Female,No,603,1,Business,Single Room,4,2,3,1,5,3
Mahesh,21,Female,No,406,2,Vacation,Double Room,5,1,4,5,1,3.2
Meera,25,Female,Yes,1007,4,Education,Suite,5,4,2,3,2,3.2
Sharad,65,Male,Yes,102,1,Travel,Single Room,5,2,4,3,1,3
Kapil,52,Male,Yes,505,2,Education,Double Room,1,2,2,1,4,2
Vishal,39,Male,Yes,1009,4,Business,Suite,4,3,5,1,1,2.8
Aryan,43,Male,No,606,2,Education,Double Room,3,2,3,2,4,2.8
Sarika,20,Female,No,708,3,Business,Suite,2,2,2,3,1,2
Gaurav,36,Female,Yes,506,2,Vacation,Double Room,5,1,5,5,4,4
Indira,56,Female,No,406,2,Business,Double Room,2,3,1,4,1,2.2
Vikas,36,Male,No,209,3,Education,Suite,2,4,4,4,2,3.2
Ritika,39,Female,No,103,1,Education,Single Room,4,4,3,3,3,3.4
Ravi,61,Male,No,607,3,Education,Suite,2,5,3,2,3,3
Harish,52,Male,Yes,310,3,Vacation,Suite,5,1,5,4,5,4
Varun,19,Male,Yes,505,3,Vacation,Double Room,2,3,3,1,3,2.4
Tanya,51,Female,No,406,2,Vacation,Double Room,1,2,3,2,4,2.4
Ritika,56,Female,No,905,3,Business,Suite,5,2,5,5,2,3.8
Sunita,54,Female,No,706,2,Travel,Double Room,5,5,2,4,3,3.8
Sneha,69,Female,Yes,107,2,Business,Double Room,2,3,5,3,4,3.4
Keshav,36,Male,No,505,2,Travel,Double Room,3,1,4,5,3,3.2
Vikas,64,Male,Yes,401,1,Travel,Single Room,4,5,5,5,2,4.2
Manish,20,Male,No,607,3,Business,Suite,4,2,4,3,5,3.6
Ritika,44,Female,Yes,901,2,Business,Single Room,5,1,3,1,2,2.4
Anushka,59,Female,Yes,207,3,Education,Double Room,2,3,2,5,2,2.8
Varun,70,Male,No,803,2,Education,Double Room,4,5,5,5,1,4
Swati,54,Female,Yes,202,1,Business,Single Room,4,5,5,2,3,3.8
Anil,23,Male,No,608,3,Travel,Suite,3,3,3,3,5,3.4
Pankaj,32,Male,Yes,904,3,Business,Double Room,1,4,2,2,1,2
Yash,56,Male,No,602,1,Business,Single Room,3,3,4,1,5,3.2
Preeti,62,Female,Yes,309,4,Vacation,Suite,2,1,5,5,2,3
Isha,33,Female,Yes,404,2,Education,Single Room,5,3,5,3,2,3.6
